"","STCODE","ENTITY","SITECODE","WATERYEAR","DATE_TIME","LABNO","TYPE","INTERVAL","MEAN_LPS","Q_AREA_CM","QCODE","PH","PHCODE","COND","CONDCODE","ALK","ALKCODE","SSED","SSEDCODE","SI","SICODE","UTP","UTPCODE","TDP","TDPCODE","PARTP","PARTPCODE","PO4P","PO4PCODE","UTN","UTNCODE","TDN","TDNCODE","DON","DONCODE","PARTN","PARTNCODE","UTKN","UTKNCODE","TKN","TKNCODE","NH3N","NH3NCODE","NO3N","NO3NCODE","NA.","NACODE","K","KCODE","CA","CACODE","MG","MGCODE","SO4S","SO4SCODE","CL","CLCODE","DOC","DOCCODE","PVOL","PVOLCODE","ANCA","ANCACODE"
"13","CF002",1,"GSLOOK",2006,2006-01-19 11:05:00,"3751","F",22.93,19577.7,62.15,"A",7.3,"A",25.9,"A",12.87,"A",219.77,"A",6.69,"A",0.124,"Q",0.021,"A",0.103,"DQ",0.015,"A",0.22,"A",0.06,"A",0.04,"D",0.16,"D",NA,"N",NA,"N",0.011,"A",0.014,"A",1.7,"A",0.36,"A",2.43,"A",0.61,"A",0.08,"A",0.62,"A",1.36,"A",24.239,"A",1.1,"D"
"14","CF002",1,"GSLOOK",2006,2006-02-07 14:05:00,"3766","F",19.13,9617.42,25.46,"A",7.3,"A",28.7,"A",14.62,"A",3.9,"A",7.54,"A",0.026,"A",0.021,"A",0.005,"D",0.014,"A",0.03,"A",0.03,"A",0.02,"D",0,"D",NA,"N",NA,"N",0.002,"*",0.004,"A",1.81,"A",0.35,"A",2.6,"A",0.68,"A",0.08,"A",0.6,"A",0.93,"A",11.388,"A",1.15,"D"
"15","CF002",1,"GSLOOK",2006,2006-02-27 13:25:00,"3786","P",19.97,3338.7,9.23,"A",7.3,"A",29.9,"A",15.33,"A",3.75,"A",7.78,"A",0.024,"A",0.02,"A",0.004,"D",0.012,"A",0.04,"A",0.02,"A",0.01,"D*",0.02,"D",NA,"N",NA,"N",0.006,"*",0.001,"*",1.92,"A",0.38,"A",2.62,"A",0.79,"A",0.09,"A",0.64,"A",0.73,"A",7.571,"Q",1.14,"D*"
"16","CF002",1,"GSLOOK",2006,2006-03-20 16:05:00,"3801","F",21.11,2785.58,8.14,"A",7.4,"A",30.7,"A",15.42,"A",145.28,"A",7.85,"A",0.148,"A",0.019,"A",0.129,"D",0.012,"A",0.13,"A",0.04,"A",0.02,"D*",0.09,"D",NA,"N",NA,"N",0.022,"A",0.001,"*",1.99,"A",0.37,"A",2.72,"A",0.79,"A",0.09,"A",0.67,"A",1.01,"A",9.359,"A",1.12,"D*"
"17","CF002",1,"GSLOOK",2006,2006-04-11 12:05:00,"3816","F",21.83,3265.87,9.87,"A",7.4,"A",30.7,"A",15.33,"A",46.18,"A",7.78,"A",0.043,"A",0.022,"A",0.021,"D",0.011,"A",0.05,"A",0.02,"A",0.01,"D*",0.03,"D",NA,"N",NA,"N",0.007,"*",0,"*",1.99,"A",0.37,"A",2.6,"A",0.79,"A",0.09,"A",0.62,"A",0.85,"A",9.77,"A",1.13,"D*"
"18","CF002",1,"GSLOOK",2006,2006-05-02 09:40:00,"3832","F",20.9,4262.2,12.33,"A",7.3,"A",26.7,"A",13.29,"A",42.11,"A",6.8,"A",0.042,"A",0.015,"A",0.027,"D",0.008,"A",0.05,"A",0.05,"A",0.04,"D*",0,"D",NA,"N",NA,"N",0.008,"*",0.001,"*",1.73,"A",0.35,"A",2.34,"A",0.88,"A",0.08,"A",0.66,"A",0.83,"A",9.483,"A",1.06,"D*"
"19","CF002",1,"GSLOOK",2006,2006-05-24 08:05:00,"3847","F",21.93,2641.54,8.02,"A",7.3,"A",27,"A",13.71,"A",24.01,"A",6.56,"A",0.042,"A",0.018,"A",0.024,"D",0.008,"A",0.12,"A",0.08,"A",0.03,"D",0.04,"D",NA,"N",NA,"N",0.052,"A",0.003,"A",1.66,"A",0.4,"A",2.31,"A",0.8,"A",0.07,"A",0.59,"A",1.02,"A",10.382,"A",1.11,"D"
"20","CF002",1,"GSLOOK",2006,2006-06-13 12:25:00,"3862","F",20.18,2520.23,7.04,"A",7.4,"A",29,"A",14.83,"A",50.1,"A",7.21,"A",0.058,"A",0.022,"A",0.036,"D",0.011,"A",0.11,"A",0.08,"A",0.04,"D*",0.03,"D",NA,"N",NA,"N",0.039,"A",0.001,"*",1.9,"A",0.38,"A",2.67,"A",0.9,"A",0.08,"A",0.61,"A",1.06,"A",9.565,"A",1.06,"D*"
"21","CF002",1,"GSLOOK",2006,2006-07-05 08:40:00,"3877","F",21.84,1230.31,3.72,"A",7.4,"A",33.7,"A",16.87,"A",13.94,"A",8.29,"A",0.045,"A",0.02,"A",0.025,"D",0.01,"A",0.06,"A",0.05,"A",0.04,"D*",0.01,"D",NA,"N",NA,"N",0.014,"A",0,"*",2.16,"A",0.45,"A",3,"A",0.98,"A",0.07,"A",0.62,"A",1.06,"A",10.479,"A",1.07,"D*"
"22","CF002",1,"GSLOOK",2006,2006-07-24 13:10:00,"3892","F",19.19,670.2,1.78,"A",7.5,"A",38.2,"A",19.46,"A",11.62,"A",8.66,"A",0.038,"A",0.027,"A",0.011,"D",0.017,"A",0.08,"A",0.09,"A",0.05,"D*",0,"D",NA,"N",NA,"N",0.039,"A",0,"*",2.37,"A",0.52,"A",3.44,"A",1.06,"A",0.08,"A",0.67,"A",1.05,"A",9.471,"A",1.1,"D*"
"23","CF002",1,"GSLOOK",2006,2006-08-15 09:35:00,"3912","F",21.85,409.97,1.24,"E",7.5,"A",39.1,"A",19.75,"A",1.33,"A",8.94,"A",0.027,"A",0.025,"A",0.002,"D",0.013,"A",0.05,"A",0.05,"A",0.04,"D*",0,"D",NA,"N",NA,"N",0.006,"*",0,"*",2.5,"A",0.58,"A",3.54,"A",1.29,"A",0.07,"A",0.69,"A",0.95,"A",10.419,"A",1.03,"D*"
"24","CF002",1,"GSLOOK",2006,2006-09-05 12:25:00,"3927","F",21.12,280.51,0.82,"A",7.5,"A",40,"A",19.83,"A",1.15,"A",8.96,"A",0.026,"A",0.021,"A",0.005,"D",0.013,"A",0.04,"A",0.04,"A",0.03,"D*",0,"D",NA,"N",NA,"N",0.014,"A",0,"*",2.67,"A",0.58,"A",3.55,"A",1.3,"A",0.08,"A",0.77,"A",0.9,"A",10.306,"A",1.02,"D*"
"25","CF002",1,"GSLOOK",2006,2006-09-27 10:35:00,"3942","F",21.92,296.56,0.9,"A",7.5,"A",40.4,"A",19.92,"A",1.08,"A",8.86,"A",0.04,"A",0.033,"A",0.007,"D",0.015,"A",0.06,"A",0.09,"A",0.08,"D*",0,"D",NA,"N",NA,"N",0.011,"A",0,"*",2.71,"A",0.55,"A",3.82,"A",1.3,"A",0.09,"A",0.83,"A",0.86,"A",10.128,"A",1,"D*"
