ws,wy,dt,lnb,q.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,upt.,tdp.,partp.,pop.,utn.,tdm.,don.mg_l,ptn.mg_l,utk,tkn,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mg.mg_l,sos.mg_l,chl.mg_l,doc.mg_l,pvol,anca
GSLOOK,2005,38484.625,0,82.47,,,,,,,,,,,,,,,,,,,,,,,,,,
GSLOOK,2005,38503.54861,3581,10.27,7.4,32.7,16.62,2.06,7.95,0.026,0.023,0.003,0.012,0.05,0.04,0.03,0.01,,,0.01,0,2.03,0.4,2.96,0.64,0.08,0.6,1.62,10.239,1.19
GSLOOK,2005,38523.67361,3596,6.89,7.4,33.6,17.37,2.41,8.17,0.03,0.028,0.002,0.012,0.04,0.04,0.03,0,,,0.008,0,2.08,0.43,3.21,0.69,0.07,0.54,1.39,10.839,1.15
GSLOOK,2005,38544.52431,3611,3.47,7.5,36.2,19,2.09,8.64,0.036,0.031,0.005,0.011,0.2,0.06,0.06,0.14,,,0.003,0,2.39,0.51,3.71,1.47,0.07,0.58,1.21,11.572,0.95
GSLOOK,2005,38567.40278,3626,1.96,7.5,41.4,20.71,1.11,,0.03,0.033,0,0.011,0.04,0.04,0.03,0,,,0.007,0.001,2.65,0.56,4.06,1.4,0.07,0.65,1.31,12.469,0.98
GSLOOK,2005,38587.45139,3645,1.13,7.6,42.7,21.46,2.35,9.2,0.032,0.028,0.004,0.011,0.06,0.07,0.06,0,,,0.014,0.001,2.71,0.64,3.8,1.14,0.07,0.76,1.4,10.35,1.09
GSLOOK,2005,38607.47917,3660,1,7.6,43.5,21.54,2.25,8.96,0.025,0.024,0.001,0.012,0.07,0.05,0.05,0.02,,,0.005,0,2.73,0.61,3.96,1.14,0.08,1.01,1.09,10.366,1.09
GSLOOK,2006,38628.65972,3675,1.1,7.5,41.7,20.75,1.89,8.71,0.026,0.026,0,0.012,0.06,0.04,0.03,0.02,,,0.008,0,2.63,0.53,4.08,1.18,0.08,0.81,0.95,10.572,1.03
GSLOOK,2006,38650.44097,3690,1.14,7.5,43.3,19.08,1.54,8.76,0.028,0.021,0.007,0.012,0.05,0.05,0.05,0,,,0.003,0,2.74,0.54,4.02,1.19,0.09,2.31,1.01,11.059,1.05
GSLOOK,2006,38671.52431,3706,11.01,7.9,29.2,14.12,5.71,7.82,0.024,0.017,0.007,0.012,0.15,0.08,0.02,0.07,,,0.031,0.031,2.25,0.45,3.42,0.92,0.08,1.84,1.55,11.181,0.96
GSLOOK,2006,38693.61806,3721,10.19,7.4,33.2,16.46,0.95,7.79,0.019,0.015,0.004,0.01,0.05,0.05,0.03,0,,,0.006,0.012,2.08,0.37,3.13,0.84,0.08,0.92,1.01,10.125,1.11
GSLOOK,2006,38713.52778,3736,14.04,7.3,29,14.46,3.07,7.27,0.026,0.021,0.005,0.011,0.09,0.09,0.03,0,,,0.035,0.025,1.99,0.36,2.68,0.72,0.08,0.74,1.22,5.783,1.09
GSLOOK,2006,38736.46181,3751,62.15,7.3,25.9,12.87,219.77,6.69,0.124,0.021,0.103,0.015,0.22,0.06,0.04,0.16,,,0.011,0.014,1.7,0.36,2.43,0.61,0.08,0.62,1.36,24.239,1.1
GSLOOK,2006,38755.58681,3766,25.46,7.3,28.7,14.62,3.9,7.54,0.026,0.021,0.005,0.014,0.03,0.03,0.02,0,,,0.002,0.004,1.81,0.35,2.6,0.68,0.08,0.6,0.93,11.388,1.15
GSLOOK,2006,38775.55903,3786,9.23,7.3,29.9,15.33,3.75,7.78,0.024,0.02,0.004,0.012,0.04,0.02,0.01,0.02,,,0.006,0.001,1.92,0.38,2.62,0.79,0.09,0.64,0.73,7.571,1.14
GSLOOK,2006,38796.67014,3801,8.14,7.4,30.7,15.42,145.28,7.85,0.148,0.019,0.129,0.012,0.13,0.04,0.02,0.09,,,0.022,0.001,1.99,0.37,2.72,0.79,0.09,0.67,1.01,9.359,1.12
GSLOOK,2006,38818.50347,3816,9.87,7.4,30.7,15.33,46.18,7.78,0.043,0.022,0.021,0.011,0.05,0.02,0.01,0.03,,,0.007,0,1.99,0.37,2.6,0.79,0.09,0.62,0.85,9.77,1.13
GSLOOK,2006,38839.40278,3832,12.33,7.3,26.7,13.29,42.11,6.8,0.042,0.015,0.027,0.008,0.05,0.05,0.04,0,,,0.008,0.001,1.73,0.35,2.34,0.88,0.08,0.66,0.83,9.483,1.06
GSLOOK,2006,38861.33681,3847,8.02,7.3,27,13.71,24.01,6.56,0.042,0.018,0.024,0.008,0.12,0.08,0.03,0.04,,,0.052,0.003,1.66,0.4,2.31,0.8,0.07,0.59,1.02,10.382,1.11
GSLOOK,2006,38881.51736,3862,7.04,7.4,29,14.83,50.1,7.21,0.058,0.022,0.036,0.011,0.11,0.08,0.04,0.03,,,0.039,0.001,1.9,0.38,2.67,0.9,0.08,0.61,1.06,9.565,1.06
GSLOOK,2006,38903.36111,3877,3.72,7.4,33.7,16.87,13.94,8.29,0.045,0.02,0.025,0.01,0.06,0.05,0.04,0.01,,,0.014,0,2.16,0.45,3,0.98,0.07,0.62,1.06,10.479,1.07
GSLOOK,2006,38922.54861,3892,1.78,7.5,38.2,19.46,11.62,8.66,0.038,0.027,0.011,0.017,0.08,0.09,0.05,0,,,0.039,0,2.37,0.52,3.44,1.06,0.08,0.67,1.05,9.471,1.1
GSLOOK,2006,38944.39931,3912,1.24,7.5,39.1,19.75,1.33,8.94,0.027,0.025,0.002,0.013,0.05,0.05,0.04,0,,,0.006,0,2.5,0.58,3.54,1.29,0.07,0.69,0.95,10.419,1.03
GSLOOK,2006,38965.51736,3927,0.82,7.5,40,19.83,1.15,8.96,0.026,0.021,0.005,0.013,0.04,0.04,0.03,0,,,0.014,0,2.67,0.58,3.55,1.3,0.08,0.77,0.9,10.306,1.02
GSLOOK,2006,38987.44097,3942,0.9,7.5,40.4,19.92,1.08,8.86,0.04,0.033,0.007,0.015,0.06,0.09,0.08,0,,,0.011,0,2.71,0.55,3.82,1.3,0.09,0.83,0.86,10.128,1
GSLOOK,2007,39007.56944,3957,0.74,7.6,40.2,19.87,1.72,8.65,0.035,0.029,0.006,0.015,0.05,0.03,0.03,0.02,,,0.003,0,2.67,0.52,3.68,1.33,0.09,0.89,0.71,9.202,1.02
GSLOOK,2007,39027.58333,3972,2.4,7.5,39.9,19.33,2.81,8.6,0.034,0.034,0,0.015,0.09,0.09,0.06,0,,,0.022,0.012,2.65,0.49,3.73,1.44,0.09,0.92,1.02,9.041,0.97
GSLOOK,2007,39048.60069,3988,26.1,7.3,29,14,9.58,7.32,0.035,0.025,0.01,0.013,0.1,0.08,0.04,0.02,,,0.006,0.033,2.1,0.41,2.71,0.97,0.09,0.72,1.43,11.418,0.97
GSLOOK,2007,39070.60764,4003,27.35,7.2,27.6,13.37,30.72,7.33,0.055,0.028,0.027,0.013,0.1,0.06,0.03,0.04,,,0.012,0.016,2.04,0.37,2.54,0.89,0.09,0.73,0.95,12.545,0.99
GSLOOK,2007,39091.47569,4018,24.54,7.3,30,13.71,4.82,7.56,0.035,0.029,0.006,0.015,0.07,0.06,0.03,0.01,,,0.017,0.014,1.89,0.36,2.64,0.89,0.09,0.63,0.9,7.933,1.01
GSLOOK,2007,39112.58333,4033,9.59,7.3,30.7,15.08,2.04,8.31,0.028,0.019,0.009,0.013,0.03,0.03,0.03,0,,,0.002,0,1.92,0.38,2.08,1.07,0.09,0.69,0.61,5.206,1.15
GSLOOK,2007,39133.63194,4048,13.32,7.4,32.4,15.83,17.92,8.48,0.034,0.028,0.006,0.018,0.07,0.06,0.04,0.01,,,0.005,0.013,2.14,0.31,3.15,1.08,0.11,0.76,1.01,8.712,1
GSLOOK,2007,39154.44097,4064,16.2,7.3,27.5,14.17,1.61,7.97,0.026,0.026,0,0.014,0.05,0.03,0.02,0.02,,,0.005,0.005,1.87,0.35,2.7,0.94,0.09,0.7,0.8,9.439,1.02
GSLOOK,2007,39175.53819,4079,12.67,7.3,27.1,13.37,1.22,7.3,0.021,0.017,0.004,0.01,0.05,0.05,0.02,0,,,0.025,0.009,1.76,0.37,2.29,0.81,0.08,0.57,0.71,9.399,1.08
GSLOOK,2007,39196.36458,4094,8.54,7.4,30.6,15.08,2.46,8.1,0.025,0.023,0.002,0.014,0.04,0.04,0.04,0,,,0.002,0.001,2.02,0.37,3.08,0.75,0.09,0.88,0.91,9.894,1.07
GSLOOK,2007,39217.59028,4109,6.59,7.3,29.7,14.75,1.05,7.74,0.021,0.019,0.002,0.011,0.04,0.04,0.04,0,,,0.005,0,1.86,0.4,2.69,0.84,0.08,0.54,0.87,10.134,1.07
GSLOOK,2007,39237.65625,4124,3.35,7.5,33,16.71,1.65,8.27,0.023,0.021,0.002,0.013,0.06,0.03,0.03,0.03,,,0,0,2.04,0.45,3,0.8,0.08,0.65,1.34,7.756,1.14
GSLOOK,2007,39259.42708,4140,2.68,7.5,35.6,17.75,1.24,8.7,0.031,0.034,0,0.013,0.05,0.05,0.05,0,,,0.004,0.001,2.19,0.49,3.27,0.86,0.08,0.64,0.81,10.704,1.11
GSLOOK,2007,39280.51736,4155,1.6,7.6,38.6,19.54,3.22,9.21,0.045,0.028,0.017,0.012,0.06,0.04,0.04,0.02,,,0.002,0,2.39,0.56,3.74,0.9,0.08,0.67,0.84,10.58,1.1
GSLOOK,2007,39301.59028,4170,1.14,7.6,40.7,20.21,1.42,9.51,0.034,0.031,0.003,0.012,0.07,0.05,0.05,0.02,,,0.002,0.001,2.55,0.6,3.75,1.06,0.08,0.75,0.91,10.621,1.08
GSLOOK,2007,39322.60417,4185,0.95,7.6,40.4,20.12,1.38,9.53,0.032,0.025,0.007,0.013,0.06,0.04,0.04,0.02,,,0,0.001,2.58,0.61,3.75,0.92,0.07,0.71,1,11.225,1.1
GSLOOK,2007,39344.39236,4201,0.83,7.5,40.6,20.5,0.62,9.49,0.037,0.029,0.008,0.015,0.06,0.05,0.04,0.01,,,0.011,0.001,2.59,0.59,3.84,0.93,0.08,0.77,0.8,11.74,1.1
GSLOOK,2008,39365.42361,4216,1.4,7.5,39.1,19.37,1,8.89,0.031,0.026,0.005,0.013,0.06,0.05,0.05,0.01,,,0.003,0.001,2.42,0.52,3.74,1.03,0.08,0.84,1,11.155,1.07
GSLOOK,2008,39385.59375,4231,8.42,7.4,34.2,16.79,4.37,8.11,0.03,0.022,0.008,0.012,0.1,0.07,0.05,0.03,,,0.011,0.012,2.09,0.47,3.29,0.92,0.08,0.74,1.28,10.773,1.06
GSLOOK,2008,39406.61458,4246,13.75,7.4,32.5,15.71,2.53,7.76,0.025,0.021,0.004,0.012,0.06,0.06,0.05,0,,,0.011,0.004,2.09,0.41,3.12,0.77,0.08,0.71,1.18,12.418,1.06
GSLOOK,2008,39427.51389,4261,17.3,7.3,30,14.75,1.16,7.73,0.027,0.022,0.005,0.011,0.06,0.04,0.03,0.02,,,0.003,0.003,1.99,0.36,2.94,0.7,0.08,0.65,0.93,11.71,1.06
GSLOOK,2008,39449.70486,4277,16.82,7.4,30.2,15.08,3.1,8.02,0.026,0.021,0.005,0.012,0.03,0.04,0.03,0,,,0.009,0.001,2.03,0.35,2.96,0.69,0.09,0.64,0.84,12.146,1.08
GSLOOK,2008,39471.47569,4292,17.63,7.4,30.2,14.71,1.47,7.97,0.031,0.028,0.003,0.016,0.07,0.06,0.04,0.01,,,0.018,0.002,2.03,0.38,2.87,0.73,0.1,0.7,0.94,10.427,1.06
GSLOOK,2008,39490.68403,4307,8.67,7.3,31,14.96,1.14,7.83,0.031,0.024,0.007,0.014,0.04,0.05,0.05,0,,,0.003,0.001,2.07,0.35,2.97,0.74,0.1,0.71,0.74,8.478,1.06
GSLOOK,2008,39511.66319,4322,13.64,7.3,31,14.79,0.93,7.93,0.026,0.026,0,0.015,0.03,0.03,0.03,0,,,0.004,0,2.13,0.39,2.94,0.74,0.1,0.73,0.74,10.631,1.04
GSLOOK,2008,39532.61111,4338,21.11,7.3,29.4,14.96,1.62,7.45,0.028,0.024,0.004,0.012,0.04,0.03,0.02,0.01,,,0.009,0.001,2.01,0.37,2.78,0.74,0.1,0.68,0.75,10.997,1.1
GSLOOK,2008,39553.56944,4353,11.73,7.3,30.5,15.5,0.73,7.65,0.028,0.026,0.002,0.013,0.04,0.04,0.03,0,,,0.006,0,2.04,0.35,2.92,0.77,0.09,0.69,0.67,10.642,1.09
GSLOOK,2008,39575.60069,4368,17.67,7.4,28.8,14.62,0.96,7.15,0.028,0.021,0.007,0.011,0.04,0.04,0.04,0,,,0.001,0,1.93,0.35,2.79,0.75,0.09,0.63,0.71,11.129,1.08
GSLOOK,2008,39595.61111,4383,25.54,7.4,23.9,12.5,4.62,5.9,0.025,0.022,0.003,0.008,0.06,0.06,0.04,0,,,0.013,0.012,1.57,0.3,2.26,0.72,0.08,0.58,0.72,12.493,1.1
GSLOOK,2008,39615.69444,4394,17.26,7.4,24.2,12.87,1.16,6.03,0.029,0.018,0.011,0.007,0.04,0.05,0.04,0,,,0.013,0.001,1.56,0.31,2.34,0.75,0.08,0.58,0.75,10.597,1.09
GSLOOK,2008,39636.59375,4406,8.83,7.4,25.8,14.04,2.21,6.38,0.025,0.016,0.009,0.006,0.05,0.05,0.04,0,,,0.007,0,1.62,0.37,2.54,0.8,0.07,0.55,0.87,10.251,1.1
GSLOOK,2008,39659.64583,4417,3.19,7.6,34.2,18.37,2.54,8.11,0.031,0.026,0.005,0.006,0.06,0.05,0,0.01,,,0.048,0.001,2.21,0.51,3.37,1.04,0.07,0.65,0.93,12.259,1.07
GSLOOK,2008,39680.61111,4428,1.92,7.7,38,20.29,1.59,8.65,0.026,0.025,0.001,0.007,0.07,0.05,0.05,0.02,,,0,0,2.36,0.53,3.74,1.09,0.07,0.66,0.89,11.085,1.09
GSLOOK,2008,39701.4375,4439,1.72,7.6,38.6,20.67,1.94,8.63,0.028,0.024,0.004,0.005,0.06,0.05,0.05,0.01,,,0.002,0,2.4,0.51,3.72,1.14,0.07,0.72,0.88,10.529,1.1
GSLOOK,2008,39720.52431,4450,1.06,7.7,40,20.83,0.77,8.45,0.029,0.027,0.002,0.005,0.06,0.05,0.05,0.01,,,0.002,0.001,2.46,0.52,3.83,0.93,0.08,0.84,0.72,9.935,1.15
GSLOOK,2009,39742.73611,4462,1.56,7.6,37.9,20.54,1.6,8.35,0.027,0.026,0.001,0.01,0.06,0.05,0.04,0.01,,,0.011,0,2.44,0.5,3.7,1.11,0.08,0.72,0.91,11.124,1.1
GSLOOK,2009,39764.62153,4473,4.91,7.5,36,18.83,2.59,7.58,0.039,0.034,0.005,0.011,0.1,0.09,0.06,0.01,,,0.008,0.024,2.37,0.46,3.58,1.07,0.08,0.74,1.31,11.033,1.06
GSLOOK,2009,39783.67014,4484,8.15,7.5,30.7,16,4.2,7.21,0.029,0.022,0.007,0.008,0.06,0.04,0.02,0.02,,,0.01,0.012,2.04,0.4,2.99,0.8,0.08,0.73,1.05,9.899,1.1
GSLOOK,2009,39805.47917,4495,3.65,7.5,32.7,17.62,6.65,7.61,0.035,0.023,0.012,0.007,0.13,0.04,0.03,0.09,,,0.01,0,2.19,0.42,3.32,0.85,0.09,0.76,0.93,5.499,1.11
GSLOOK,2009,39826.53819,4506,52.93,7.3,24.7,12.96,58.41,6.46,0.072,0.027,0.045,0.01,0.14,0.04,0.02,0.1,,,0.004,0.013,1.76,0.35,2.53,0.6,0.09,0.66,1.15,13.265,1.09
GSLOOK,2009,39847.64931,4517,12.56,7.4,26.9,14.29,2.6,7.28,0.029,0.022,0.007,0.008,0.07,0.06,0.04,0.01,,,0.009,0.009,1.88,0.37,2.69,0.75,0.09,0.66,0.79,6.605,1.08
GSLOOK,2009,39868.74861,4529,6.49,7.5,29.3,15.67,1.34,7.55,0.022,0.02,0.002,0.009,0.04,0.04,0.03,0,,,0.009,0,2.01,0.36,2.94,0.81,0.08,0.64,0.68,7.243,1.08
GSLOOK,2009,39891.36458,4540,15.6,7.5,28.4,15,1.88,7.35,0.025,0.022,0.003,0.01,0.04,0.05,0.05,0,,,0.003,0,1.98,0.34,2.82,0.74,0.09,0.63,0.9,8.105,1.09
GSLOOK,2009,39910.59236,4551,14.87,7.5,28.5,15.37,1.09,7.31,0.026,0.024,0.002,0.011,0.04,0.03,0.02,0.01,,,0.006,0,1.93,0.34,2.71,0.73,0.09,0.64,0.83,6.802,1.15
GSLOOK,2009,39931.59375,4562,14.7,7.4,25.7,13.62,1.29,6.4,0.022,0.017,0.005,0.011,0.08,0.05,0.03,0.03,,,0.01,0.007,1.73,0.36,2.47,0.71,0.08,0.61,0.75,7.43,1.11
GSLOOK,2009,39953.76736,4574,18.86,7.4,25.8,13.75,2.2,6.26,0.023,0.019,0.004,0.007,0.08,0.07,0.05,0.01,,,0.018,0.007,1.69,0.35,2.46,0.71,0.07,0.57,0.95,8.443,1.12
GSLOOK,2009,39972.74306,4585,6.09,7.5,27.8,15.29,1.83,6.79,0.024,0.022,0.002,0.006,0.06,0.05,0.05,0.01,,,0.004,0.001,1.79,0.41,2.75,0.77,0.07,0.55,0.8,7.003,1.13
GSLOOK,2009,39994.54861,4596,3.22,7.6,33.4,18.71,2.45,8.11,0.026,0.023,0.003,0.008,0.08,0.05,0.05,0.03,,,0.002,0.001,2.17,0.48,3.26,0.87,0.07,0.63,0.87,7.681,1.16
GSLOOK,2009,40015.62153,4607,1.77,7.6,36.8,19.46,1.77,8.58,0.026,0.024,0.002,0.01,0.05,0.04,0.04,0.01,,,0.001,0.001,2.39,0.53,3.57,0.93,0.07,0.71,1.03,7.588,1.11
GSLOOK,2009,40035.45833,4618,1.1,7.6,39.1,20.92,1.54,8.96,0.031,0.023,0.008,0.009,0.05,0.03,0.03,0.02,,,0,0,2.57,0.6,3.76,0.96,0.07,0.71,1.2,7.188,1.13
GSLOOK,2009,40058.45833,4629,1.01,7.6,39.3,20.42,1.28,8.81,0.029,0.026,0.003,0.01,0.04,0.02,0.02,0.02,,,0.002,0,2.55,0.58,3.8,0.97,0.07,0.75,0.95,8.006,1.1
GSLOOK,2009,40079.48958,4641,0.85,7.6,40.6,20.75,1.14,8.69,0.025,0.026,0,0.011,0.05,0.04,0.04,0.01,,,0.001,0,2.54,0.56,3.91,1.12,0.08,0.85,1.04,7.282,1.08
GSLOOK,2010,40100.43542,4652,0.82,7.6,39.6,20.25,0.88,8.42,0.024,0.025,0,0.011,0.03,0.04,0.03,0,,,0.012,0.001,2.49,0.51,3.72,0.88,0.08,0.85,0.93,7.096,1.14
GSLOOK,2010,40120.61458,4663,2.27,7.6,40.5,19.5,2.27,8.19,0.028,0.024,0.004,0.009,0.13,0.03,0.02,0.1,,,0.013,0,2.39,0.5,3.7,0.86,0.08,0.9,1.53,6.774,1.13
GSLOOK,2010,40141.64583,4674,6.73,7.3,33.4,16.67,3.69,7.45,0.028,0.021,0.007,0.01,0.1,0.06,0.05,0.04,,,0.012,0.003,2.1,0.41,3.07,0.69,0.09,0.83,1.41,6.721,1.16
GSLOOK,2010,40162.65625,4686,6.43,7.4,30.9,15.54,9.11,5.63,0.026,0.017,0.009,0.007,0.09,0.03,0.03,0.06,,,0,0,2.05,0.37,2.84,0.71,0.09,0.82,0.9,4.747,1.14
GSLOOK,2010,40183.54167,4697,20.79,7.4,27.8,14.12,60.82,6.92,0.035,0.026,0.009,0.01,0.12,0.09,0.06,0.03,,,0.014,0.02,1.85,0.37,2.67,0.55,0.09,0.76,1.13,7.585,1.16
GSLOOK,2010,40204.75,4708,16.45,7.4,28.7,14.54,36.65,7.18,0.032,0.025,0.007,0.013,0.08,0.07,0.04,0.01,,,0.012,0.02,1.83,0.35,2.65,0.46,0.09,0.71,0.91,7.313,1.23
GSLOOK,2010,40225.79514,4719,8.28,7.5,31.3,16.04,10.5,7.71,0.036,0.026,0.01,0.013,0.09,0.07,0.04,0.02,,,0.028,0.005,1.99,0.38,2.92,0.5,0.09,0.71,0.85,6.844,1.22
GSLOOK,2010,40245.70486,4731,7.05,7.5,30.5,15.75,9.76,7.76,0.03,0.022,0.008,0.009,0.06,0.06,0.05,0,,,0.006,0,1.88,0.38,2.94,0.58,0.09,0.83,0.8,6.399,1.2
GSLOOK,2010,40267.67361,4742,9.99,7.5,30.4,15.5,12.13,7.53,0.031,0.02,0.011,0.008,0.07,0.05,0.04,0.02,,,0.006,0,1.9,0.38,2.92,0.58,0.09,0.81,0.95,6.341,1.18
GSLOOK,2010,40289.36458,4753,15.34,7.4,29.1,14.96,8.77,7.35,0.03,0.023,0.007,0.008,0.05,0.04,0.03,0.01,,,0.012,0.002,1.78,0.36,2.78,0.55,0.09,0.74,0.83,7.235,1.2
GSLOOK,2010,40309.77778,4764,12.31,7.5,27.8,14.37,7.74,6.93,0.022,0.01,0.012,0.006,0.07,0.05,0.04,0.02,,,0.014,0,1.66,0.35,2.61,0.53,0.08,0.67,0.8,6.524,1.22
GSLOOK,2010,40330.61458,4775,8.81,7.4,28.2,14.71,6.78,7.11,0.018,0.011,0.007,0.008,0.07,0.04,0.04,0.03,,,0.005,0,1.7,0.35,2.67,0.56,0.08,0.66,0.92,6.872,1.21
GSLOOK,2010,40351.52431,4787,19.47,7.4,29.4,15.08,10.77,7.03,0.024,0.012,0.012,0.008,0.08,0.03,0.02,0.05,,,0.008,0,1.68,0.36,2.76,0.56,0.08,0.64,0.91,8.04,1.22
GSLOOK,2010,40372.58681,4798,3.33,7.6,36,18.92,4.22,8.64,0.018,0.016,0.002,0.01,0.05,0.04,0.03,0.01,,,0.013,0.001,2.07,0.47,3.42,0.58,0.08,0.74,0.99,6.963,1.26
GSLOOK,2010,40392.65625,4809,1.72,7.6,39.1,20.15,2.23,9.13,0.016,0.012,0.004,0.01,0.04,0.04,0.04,0,,,0.001,0,2.21,0.5,3.7,0.71,0.08,0.8,1,6.62,1.22
GSLOOK,2010,40415.44444,4820,1.31,7.6,40.3,20.87,7.15,9.23,0.021,0.015,0.006,0.008,0.08,0.05,0.05,0.03,,,0,0,2.44,0.52,3.65,0.76,0.07,0.82,0.96,7.45,1.22
GSLOOK,2010,40435.44444,4831,1.06,7.6,39.5,20.79,4.33,8.94,0.019,0.014,0.005,0.01,0.05,0.03,0.03,0.02,,,0.002,0,2.42,0.48,3.71,0.76,0.08,1.1,0.94,6.436,1.24
GSLOOK,2011,40456.53125,4842,1.52,7.5,40.8,21.17,5.55,8.88,0.021,0.012,0.009,0.009,0.07,0.04,0.04,0.03,,,0.003,0.001,2.53,0.53,3.97,0.85,0.07,0.83,1.27,6.819,1.15
GSLOOK,2011,40476.63542,4854,1.87,7.6,41.3,21.29,1.47,8.85,0.016,0.014,0.002,0.011,0.04,0.01,0.01,0.03,,,0.005,0,2.49,0.53,3.97,0.88,0.08,0.79,0.84,5.048,1.16
GSLOOK,2011,40499.56597,4865,9.37,7.5,33.4,17.12,1.82,7.54,0.014,0.014,0,0.011,0.1,0.07,0.04,0.03,,,0.018,0.009,2.14,0.44,3.27,0.71,0.08,0.96,1.15,7.091,1.15
GSLOOK,2011,40519.69097,4876,14.77,7.5,31.6,16.25,4.85,7.45,0.023,0.012,0.011,0.011,0.1,0.04,0.03,0.06,,,0.015,0,2.07,0.4,3.05,0.64,0.09,0.76,0.96,6.44,1.15
GSLOOK,2011,40540.72222,4887,27.77,7.3,28.7,14.46,7.43,7.02,0.024,0.014,0.01,0.012,0.08,0.12,0.1,0,,,0.014,0.005,1.87,0.37,2.66,0.57,0.08,0.7,0.92,9.172,1.16
GSLOOK,2011,40561.69444,4898,35.19,,,,,,,,,,,,,,,,,,,,,,,,,,
GSLOOK,2011,40583.43403,4910,13.96,7.3,30.1,14.37,3.48,7.35,0.016,0.013,0.003,0.012,0.05,0.04,0.02,0.01,,,0.009,0.007,1.87,0.36,2.7,0.62,0.08,0.64,0.68,7.888,1.13
GSLOOK,2011,40603.61806,4921,5.84,7.3,30.8,15.08,1.95,7.6,0.016,0.013,0.003,0.011,0.04,0.03,0.03,0.01,,,0.004,0,1.93,0.36,2.92,0.67,0.09,0.68,0.69,6.063,1.11
GSLOOK,2011,40625.40069,4932,19.61,7.4,29.7,14.87,3.18,7.67,0.02,0.015,0.005,0.014,0.04,0.03,0.02,0.01,,,0.01,0,1.97,0.35,2.81,0.61,0.09,0.67,0.84,8.259,1.13
GSLOOK,2011,40646.53819,4943,23.27,7.4,28,14.21,2.77,7.11,0.017,0.013,0.004,0.011,0.05,0.03,0.02,0.02,,,0.012,0,1.8,0.34,2.64,0.65,0.09,0.62,0.75,9.298,1.13
GSLOOK,2011,40665.60764,4954,19.25,7.4,27.8,13.96,6.26,6.97,0.017,0.012,0.005,0.011,0.05,0.03,0.02,0.02,,,0.01,0,1.83,0.32,2.58,0.81,0.09,0.62,0.77,7.924,1.07
GSLOOK,2011,40688.64236,4966,15.6,7.2,26.1,13.17,1.08,6.54,0.013,0.008,0.005,0.009,0.04,0.02,0.01,0.02,,,0.009,0,1.66,0.3,2.41,0.79,0.08,0.63,0.71,8.23,1.08
GSLOOK,2011,40708.60069,4977,15.13,7.4,26.4,13.29,1.42,6.45,0.011,0.008,0.003,0.007,0.04,0.02,0,0.02,,,0.017,0.001,1.68,0.31,2.46,0.8,0.08,0.67,0.81,7.188,1.07
GSLOOK,2011,40729.59722,4988,6.26,7.4,29.1,14.21,2.75,6.96,0.013,0.008,0.005,0.007,0.05,0.03,0.02,0.02,,,0.014,0,1.81,0.39,2.78,0.87,0.07,0.93,0.83,7.638,1.05
GSLOOK,2011,40750.38889,5000,2.73,7.6,34.6,17.58,1.74,8.16,0.017,0.011,0.006,0.009,0.05,0.03,0.02,0.02,,,0.008,0,2.18,0.48,3.29,1.03,0.07,0.64,0.96,7.578,1.05
GSLOOK,2011,40771.56944,5011,1.79,7.6,37.6,18.87,1.9,8.8,0.017,0.012,0.005,0.01,0.08,0.02,0.02,0.06,,,0.005,0,2.43,0.54,3.57,1.11,0.07,0.65,0.81,7.667,1.03
GSLOOK,2011,40792.40625,5022,1.24,7.5,37.9,20.08,1.62,8.95,0.015,0.013,0.002,0.009,0.04,0.03,0.01,0.01,,,0.021,0.003,2.52,0.55,3.64,1.16,0.07,0.7,1.11,7.666,1.06
GSLOOK,2011,40813.53125,5033,1.08,7.5,39.3,20.33,0.77,9.07,0.015,0.013,0.002,0.009,0.04,0.03,0.02,0.01,,,0.013,0.002,2.57,0.52,3.72,1.18,0.07,0.77,1.09,7.576,1.06
GSLOOK,2012,40834.55208,5044,1.43,7.5,38.9,19.87,1.31,8.79,0.016,0.012,0.004,0.01,0.06,0.04,0.02,0.02,,,0.021,0.001,2.51,0.48,3.71,1.2,0.08,0.84,1.2,7.347,1.05
GSLOOK,2012,40855.76528,5056,1.26,7.5,39,20.04,0.62,8.62,0.016,0.013,0.003,0.012,0.02,0.03,0.02,0,,,0.007,0.001,2.47,0.44,3.68,1.22,0.09,0.83,0.8,7.145,1.07
GSLOOK,2012,40876.63542,5067,8.09,7.4,33.9,17.04,7.51,7.64,0.017,0.015,0.002,0.01,0.08,0.07,0.04,0.01,,,0.009,0.023,2.1,0.39,3.25,1.02,0.09,0.81,1.23,7.091,1.07
GSLOOK,2012,40897.56944,5078,3.86,7.4,31.3,16,3.46,7.4,0.017,0.008,0.009,0.006,0.09,0.02,0.02,0.07,,,0.005,0,1.93,0.36,2.94,0.94,0.09,0.69,0.68,6.329,1.09
GSLOOK,2012,40918.62361,5089,23.52,7.2,27.2,14.04,60.84,6.68,0.046,0.013,0.033,0.008,0.13,0.08,0.05,0.05,,,0.009,0.023,1.73,0.34,2.65,0.8,0.08,0.65,1.32,9.398,1.08
